Month,Year,Period,Home,Away,Result,Stadium,Borough
4,2017,1,Crystal Palace,Burnley,A,Selhurst Park,Croydon
4,2017,2,Tottenham,Arsenal,H,White Hart Lane,Haringey
5,2017,2,West Ham,Tottenham,H,London Stadium,Newham
5,2017,2,Arsenal,Man United,H,Emirates Stadium,Islington
5,2017,2,Chelsea,Middlesbrough,H,Stamford Bridge,Hammersmith and Fulham
5,2017,2,Crystal Palace,Hull,H,Selhurst Park,Croydon
5,2017,2,Tottenham,Man United,H,White Hart Lane,Haringey
5,2017,2,West Ham,Liverpool,A,London Stadium,Newham
5,2017,2,Chelsea,Watford,H,Stamford Bridge,Hammersmith and Fulham
5,2017,2,Arsenal,Sunderland,H,Emirates Stadium,Islington
5,2017,2,Arsenal,Everton,H,Emirates Stadium,Islington
5,2017,2,Chelsea,Sunderland,H,Stamford Bridge,Hammersmith and Fulham
8,2017,5,Arsenal,Leicester,H,Emirates Stadium,Islington
8,2017,5,Chelsea,Burnley,A,Stamford Bridge,Hammersmith and Fulham
8,2017,5,Crystal Palace,Huddersfield,A,Selhurst Park,Croydon
8,2017,6,Tottenham,Chelsea,A,Wembley Stadium,Brent
8,2017,6,Crystal Palace,Swansea,A,Selhurst Park,Croydon
8,2017,6,Chelsea,Everton,H,Stamford Bridge,Hammersmith and Fulham
8,2017,6,Tottenham,Burnley,D,Wembley Stadium,Brent
9,2017,6,Arsenal,Bournemouth,H,Emirates Stadium,Islington
9,2017,6,West Ham,Huddersfield,H,London Stadium,Newham
9,2017,6,Crystal Palace,Southampton,A,Selhurst Park,Croydon
9,2017,6,Tottenham,Swansea,D,Wembley Stadium,Brent
9,2017,6,Chelsea,Arsenal,D,Stamford Bridge,Hammersmith and Fulham
9,2017,7,West Ham,Tottenham,A,London Stadium,Newham
9,2017,7,Arsenal,West Brom,H,Emirates Stadium,Islington
9,2017,7,Chelsea,Man City,A,Stamford Bridge,Hammersmith and Fulham
9,2017,7,West Ham,Swansea,H,London Stadium,Newham
10,2017,7,Arsenal,Brighton,H,Emirates Stadium,Islington
10,2017,7,Crystal Palace,Chelsea,H,Selhurst Park,Croydon
10,2017,7,Tottenham,Bournemouth,H,Wembley Stadium,Brent
10,2017,8,West Ham,Brighton,A,London Stadium,Newham
10,2017,8,Chelsea,Watford,H,Stamford Bridge,Hammersmith and Fulham
10,2017,8,Tottenham,Liverpool,H,Wembley Stadium,Brent
10,2017,8,Arsenal,Swansea,H,Emirates Stadium,Islington
10,2017,8,Crystal Palace,West Ham,D,Selhurst Park,Croydon
11,2017,8,West Ham,Liverpool,A,London Stadium,Newham
11,2017,8,Chelsea,Man United,H,Stamford Bridge,Hammersmith and Fulham
11,2017,8,Tottenham,Crystal Palace,H,Wembley Stadium,Brent
11,2017,9,Arsenal,Tottenham,H,Emirates Stadium,Islington
11,2017,9,Crystal Palace,Everton,D,Selhurst Park,Croydon
11,2017,9,West Ham,Leicester,D,London Stadium,Newham
11,2017,9,Crystal Palace,Stoke,H,Selhurst Park,Croydon
11,2017,9,Tottenham,West Brom,D,Wembley Stadium,Brent
11,2017,9,Arsenal,Huddersfield,H,Emirates Stadium,Islington
